STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-02,100.0,100.0,,,1930.0,0.17,12.0,0.0,0.0,,53.0,35.0,78.0,,,,225.0,225.0,,,,,57.5,42.9,1.0,,,,,,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-03,100.0,100.0,,,1524.0,1.27,0.0,0.0,0.0,,58.0,43.0,0.0,,,,180.0,180.0,,,,,68.9,57.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-04,50.0,50.0,,,630.0,0.69,67.0,0.5,1.0,,44.0,11.0,408.0,,,,315.0,315.0,,,,,39.1,32.0,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-05,60.0,70.0,,,118.0,0.0,64.0,0.0,0.0,,31.0,10.0,390.0,,,,315.0,270.0,,,,,16.1,11.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-06,70.0,90.0,,,12.0,0.02,20.0,0.2,0.0,,34.0,27.0,120.0,,,,180.0,180.0,,,,,10.3,10.1,,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-07,0.0,0.0,,,212.0,0.0,95.0,0.0,0.0,,40.0,26.0,588.0,,,,315.0,135.0,,,,,9.2,8.9,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-08,50.0,80.0,,,1512.0,0.0,91.0,0.0,0.0,,44.0,30.0,558.0,,,,135.0,135.0,,,,,11.4,8.9,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-09,90.0,90.0,,,1518.0,0.0,65.0,0.0,0.0,,43.0,33.0,402.0,,,,135.0,90.0,,,,,19.5,14.1,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-10,100.0,100.0,,,1806.0,1.17,0.0,0.0,0.0,,45.0,36.0,0.0,,,,90.0,90.0,,,,,35.6,27.1,1.0,,,,,,,,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-11,90.0,100.0,,,2300.0,0.22,4.0,0.0,0.0,,47.0,31.0,24.0,,,,270.0,270.0,,,,,44.7,33.1,1.0,,,,,,,1.0,,,,,,,1.0,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-12,20.0,10.0,,,342.0,0.0,100.0,0.0,0.0,,37.0,25.0,630.0,,,,270.0,270.0,,,,,50.6,40.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-13,50.0,60.0,,,1530.0,0.0,64.0,0.0,0.0,,34.0,15.0,402.0,,,,270.0,315.0,,,,,44.7,31.1,,,,,,,,1.0,,,,,,,,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-14,60.0,60.0,,,24.0,0.0,87.0,0.0,0.0,,28.0,12.0,552.0,,,,315.0,315.0,,,,,34.4,23.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-15,100.0,100.0,,,1012.0,0.7,0.0,4.6,2.0,,38.0,22.0,0.0,,,,90.0,90.0,0.2,,,,31.1,23.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-16,50.0,10.0,,,930.0,0.0,98.0,0.0,3.0,,36.0,25.0,630.0,,,,315.0,315.0,0.5,,,,30.0,21.9,,,,,,1.0,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-17,70.0,80.0,,,1212.0,0.0,80.0,0.0,2.0,,38.0,24.0,516.0,,,,135.0,135.0,0.4,,,,16.1,13.0,,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-18,80.0,90.0,,,2300.0,0.0,75.0,0.0,2.0,,40.0,31.0,480.0,,,,225.0,225.0,0.2,,,,31.1,23.9,1.0,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-19,60.0,70.0,,,1100.0,0.0,49.0,0.0,1.0,,47.0,26.0,318.0,,,,270.0,315.0,,,,,31.1,23.0,1.0,,,,,,,1.0,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-20,10.0,30.0,,,2230.0,0.0,98.0,0.0,0.0,,36.0,18.0,636.0,,,,270.0,270.0,,,,,35.6,23.9,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1970-02-21,20.0,30.0,,,1136.0,0.0,98.0,0.0,0.0,,36.0,22.0,642.0,,,,315.0,270.0,,,,,30.0,21.9,,,,,,,,,,,,,,,,,,,,
